,Unnamed: 0,NameCode_x,Last_Name_x,First_Name_x,Season_x,Age,Team,Nat,Pos,GP,G,A,PTS,PM,PIM,ESG,PPG,SHG,Shot,TOI,OPS,DPS,PS,OGVT,DGVT,SGVT,GVT,Sub_ID,TotYears,year_number,NameCode_Season,Season_Start,Season_y,NameCode_y,First_Name_y,Last_Name_y,Salary,Sal_mil,a1,a2,a3,a4,a5,a6,goals_million,assists_million,point_/million,shots_million,plus_minus_million,time_on_ice_million
0,10,Abdelkader Justin,Abdelkader,Justin,2011-12,24.0,DET,US,LW,81,8,14,22,4,62,8,0,0,121,997,0.5,1.1,1.6,0.9,3.0,0.0,3.9,Sub_ 3,9,5,Abdelkader Justin_2011-2012,2011,2011-2012,Abdelkader Justin,Justin ,Abdelkader,825000,0.825,9.696969696969697,16.96969696969697,26.666666666666668,146.66666666666669,4.848484848484849,1208.4848484848485,9.696969696969697,16.96969696969697,26.666666666666668,146.66666666666669,4.848484848484849,1208.4848484848485
1,11,Abdelkader Justin,Abdelkader,Justin,2012-13,25.0,DET,US,LW,48,10,3,13,6,34,10,0,0,96,711,0.6,1.1,1.7,0.7,2.7,0.0,3.4,Sub_ 3,9,6,Abdelkader Justin_2012-2013,2012,2012-2013,Abdelkader Justin,Justin ,Abdelkader,1069512,1.069512,9.350058718368752,2.8050176155106255,12.155076333879377,89.76056369634001,5.610035231021251,664.7891748760183,9.350058718368752,2.8050176155106255,12.155076333879377,89.76056369634001,5.610035231021251,664.7891748760183
2,12,Abdelkader Justin,Abdelkader,Justin,2013-14,26.0,DET,US,LW,70,10,18,28,2,31,9,1,0,147,1070,1.3,1.2,2.6,2.0,2.2,0.0,4.2,Sub_ 3,9,7,Abdelkader Justin_2013-2014,2013,2013-2014,Abdelkader Justin,Justin ,Abdelkader,1550000,1.55,6.451612903225806,11.612903225806452,18.064516129032256,94.83870967741935,1.2903225806451613,690.3225806451612,6.451612903225806,11.612903225806452,18.064516129032256,94.83870967741935,1.2903225806451613,690.3225806451612
3,13,Abdelkader Justin,Abdelkader,Justin,2014-15,27.0,DET,US,LW,71,23,21,44,3,72,15,8,0,154,1272,4.0,1.6,5.6,5.4,2.5,0.0,8.0,Sub_ 3,9,8,Abdelkader Justin_2014-2015,2014,2014-2015,Abdelkader Justin,Justin ,Abdelkader,2000000,2.0,11.5,10.5,22.0,77.0,1.5,636.0,11.5,10.5,22.0,77.0,1.5,636.0
4,14,Abdelkader Justin,Abdelkader,Justin,2015-16,28.0,DET,US,LW,82,19,23,42,-16,120,13,6,0,155,1512,2.7,1.1,3.8,2.9,1.4,0.0,4.3,Sub_ 3,9,9,Abdelkader Justin_2015-2016,2015,2015-2016,Abdelkader Justin,Justin ,Abdelkader,2250000,2.25,8.444444444444445,10.222222222222221,18.666666666666668,68.88888888888889,-7.111111111111111,672.0,8.444444444444445,10.222222222222221,18.666666666666668,68.88888888888889,-7.111111111111111,672.0
5,21,Acciari Noel,Acciari,Noel,2015-16,24.0,BOS,US,C,19,0,1,1,-4,8,0,0,0,18,188,-0.4,0.0,-0.4,-1.2,0.3,0.0,-0.9,Sub_ 7,1,1,Acciari Noel_2015-2016,2015,2015-2016,Acciari Noel,Noel ,Acciari,224766,0.224766,0.0,4.449071478782378,4.449071478782378,80.08328661808281,-17.796285915129513,836.4254380110871,0.0,4.449071478782378,4.449071478782378,80.08328661808281,-17.796285915129513,836.4254380110871
6,58,Adams Craig,Adams,Craig,2011-12,34.0,PIT,BN,RW,82,5,13,18,-6,34,5,0,0,76,925,0.0,0.6,0.6,0.5,4.9,0.0,5.3,Sub_ 14,14,11,Adams Craig_2011-2012,2011,2011-2012,Adams Craig,Craig ,Adams,525000,0.525,9.523809523809524,24.76190476190476,34.285714285714285,144.76190476190476,-11.428571428571429,1761.904761904762,9.523809523809524,24.76190476190476,34.285714285714285,144.76190476190476,-11.428571428571429,1761.904761904762
7,59,Adams Craig,Adams,Craig,2012-13,35.0,PIT,BN,RW,48,3,6,9,-1,28,2,0,1,46,536,-0.2,0.4,0.2,0.0,1.1,0.0,1.1,Sub_ 14,14,12,Adams Craig_2012-2013,2012,2012-2013,Adams Craig,Craig ,Adams,365854,0.365854,8.19999234667381,16.39998469334762,24.59997704002143,125.73321598233174,-2.7333307822246034,1465.0652992723874,8.19999234667381,16.39998469334762,24.59997704002143,125.73321598233174,-2.7333307822246034,1465.0652992723874
8,60,Adams Craig,Adams,Craig,2013-14,36.0,PIT,BN,RW,82,5,6,11,-16,46,5,0,0,73,1022,-1.1,0.5,-0.6,-3.0,4.1,0.0,1.0,Sub_ 14,14,13,Adams Craig_2013-2014,2013,2013-2014,Adams Craig,Craig ,Adams,700000,0.7,7.142857142857143,8.571428571428571,15.714285714285715,104.28571428571429,-22.857142857142858,1460.0,7.142857142857143,8.571428571428571,15.714285714285715,104.28571428571429,-22.857142857142858,1460.0
9,61,Adams Craig,Adams,Craig,2014-15,37.0,PIT,,RW,70,1,6,7,-1,44,1,0,0,51,682,-1.0,0.8,-0.3,-2.1,3.4,0.0,1.3,Sub_ 14,14,14,Adams Craig_2014-2015,2014,2014-2015,Adams Craig,Craig ,Adams,700000,0.7,1.4285714285714286,8.571428571428571,10.0,72.85714285714286,-1.4285714285714286,974.2857142857143,1.4285714285714286,8.571428571428571,10.0,72.85714285714286,-1.4285714285714286,974.2857142857143
