"","X","Unnamed..0","NameCode_x","Last_Name_x","First_Name_x","Season_x","Age","Team","Nat","Pos","Position","GP","G","A","PTS","PM","PIM","ESG","PPG","SHG","Shot","TOI","OPS","DPS","PS","OGVT","DGVT","SGVT","GVT","Sub_ID","TotYears","year_number","NameCode_Season","Season_Start","Season_y","NameCode_y","First_Name_y","Last_Name_y","Salary","Sal_mil","a1","a2","a3","a4","a5","a6","goals_million","assists_million","point_.million","shots_million","plus_minus_million","time_on_ice_million","sal_scaled","pts_scaled"
"1",0,10,"Abdelkader Justin","Abdelkader","Justin","2011-12",24,"DET","US","LW","LW",81,8,14,22,4,62,8,0,0,121,997,0.5,1.1,1.6,0.9,3,0,3.9,"Sub_ 3",9,5,"Abdelkader Justin_2011-2012",2011,"2011-2012","Abdelkader Justin","Justin ","Abdelkader",825000,0.825,9.696969697,16.96969697,26.66666667,146.6666667,4.848484848,1208.484848,9.696969697,16.96969697,26.66666667,146.6666667,4.848484848,1208.484848,-0.665574342183183,-0.0846778333837857
"2",1,11,"Abdelkader Justin","Abdelkader","Justin","2012-13",25,"DET","US","LW","LW",48,10,3,13,6,34,10,0,0,96,711,0.6,1.1,1.7,0.7,2.7,0,3.4,"Sub_ 3",9,6,"Abdelkader Justin_2012-2013",2012,"2012-2013","Abdelkader Justin","Justin ","Abdelkader",1069512,1.069512,9.350058718,2.805017616,12.15507633,89.7605637,5.610035231,664.7891749,9.350058718,2.805017616,12.15507633,89.7605637,5.610035231,664.7891749,-0.552794437185066,-0.550150555615282
"3",2,12,"Abdelkader Justin","Abdelkader","Justin","2013-14",26,"DET","US","LW","LW",70,10,18,28,2,31,9,1,0,147,1070,1.3,1.2,2.6,2,2.2,0,4.2,"Sub_ 3",9,7,"Abdelkader Justin_2013-2014",2013,"2013-2014","Abdelkader Justin","Justin ","Abdelkader",1550000,1.55,6.451612903,11.61290323,18.06451613,94.83870968,1.290322581,690.3225806,6.451612903,11.61290323,18.06451613,94.83870968,1.290322581,690.3225806,-0.331171813376275,0.225637314770546
"4",3,13,"Abdelkader Justin","Abdelkader","Justin","2014-15",27,"DET","US","LW","LW",71,23,21,44,3,72,15,8,0,154,1272,4,1.6,5.6,5.4,2.5,0,8,"Sub_ 3",9,8,"Abdelkader Justin_2014-2015",2014,"2014-2015","Abdelkader Justin","Justin ","Abdelkader",2000000,2,11.5,10.5,22,77,1.5,636,11.5,10.5,22,77,1.5,636,-0.123611623082331,1.05314437651543
"5",4,14,"Abdelkader Justin","Abdelkader","Justin","2015-16",28,"DET","US","LW","LW",82,19,23,42,-16,120,13,6,0,155,1512,2.7,1.1,3.8,2.9,1.4,0,4.3,"Sub_ 3",9,9,"Abdelkader Justin_2015-2016",2015,"2015-2016","Abdelkader Justin","Justin ","Abdelkader",2250000,2.25,8.444444444,10.22222222,18.66666667,68.88888889,-7.111111111,672,8.444444444,10.22222222,18.66666667,68.88888889,-7.111111111,672,-0.00830040625236306,0.949705993797318
"6",5,21,"Acciari Noel","Acciari","Noel","2015-16",24,"BOS","US","C","C",19,0,1,1,-4,8,0,0,0,18,188,-0.4,0,-0.4,-1.2,0.3,0,-0.9,"Sub_ 7",1,1,"Acciari Noel_2015-2016",2015,"2015-2016","Acciari Noel","Noel ","Acciari",224766,0.224766,0,4.449071479,4.449071479,80.08328662,-17.79628592,836.425438,0,4.449071479,4.449071479,80.08328662,-17.79628592,836.425438,-0.94242919387406,-1.17078085192394
"7",6,58,"Adams Craig","Adams","Craig","2011-12",34,"PIT","BN","RW","RW",82,5,13,18,-6,34,5,0,0,76,925,0,0.6,0.6,0.5,4.9,0,5.3,"Sub_ 14",14,11,"Adams Craig_2011-2012",2011,"2011-2012","Adams Craig","Craig ","Adams",525000,0.525,9.523809524,24.76190476,34.28571429,144.7619048,-11.42857143,1761.904762,9.523809524,24.76190476,34.28571429,144.7619048,-11.42857143,1761.904762,-0.803947802379145,-0.291554598820006
"8",7,59,"Adams Craig","Adams","Craig","2012-13",35,"PIT","BN","RW","RW",48,3,6,9,-1,28,2,0,1,46,536,-0.2,0.4,0.2,0,1.1,0,1.1,"Sub_ 14",14,12,"Adams Craig_2012-2013",2012,"2012-2013","Adams Craig","Craig ","Adams",365854,0.365854,8.199992347,16.39998469,24.59997704,125.733216,-2.733330782,1465.065299,8.199992347,16.39998469,24.59997704,125.733216,-2.733330782,1465.065299,-0.877353078033634,-0.757027321051503
"9",8,60,"Adams Craig","Adams","Craig","2013-14",36,"PIT","BN","RW","RW",82,5,6,11,-16,46,5,0,0,73,1022,-1.1,0.5,-0.6,-3,4.1,0,1,"Sub_ 14",14,13,"Adams Craig_2013-2014",2013,"2013-2014","Adams Craig","Craig ","Adams",700000,0.7,7.142857143,8.571428571,15.71428571,104.2857143,-22.85714286,1460,7.142857143,8.571428571,15.71428571,104.2857143,-22.85714286,1460,-0.723229950598167,-0.653588938333393
"10",9,61,"Adams Craig","Adams","Craig","2014-15",37,"PIT","","RW","RW",70,1,6,7,-1,44,1,0,0,51,682,-1,0.8,-0.3,-2.1,3.4,0,1.3,"Sub_ 14",14,14,"Adams Craig_2014-2015",2014,"2014-2015","Adams Craig","Craig ","Adams",700000,0.7,1.428571429,8.571428571,10,72.85714286,-1.428571429,974.2857143,1.428571429,8.571428571,10,72.85714286,-1.428571429,974.2857143,-0.723229950598167,-0.860465703769614
